Fecha;Último;Apertura;Máximo;Mínimo;% var.
01.12.1999;1,0075;1,0096;1,0305;0,9991;-0,16%
01.11.1999;1,0091;1,0551;1,0595;1,0037;-4,36%
01.10.1999;1,0551;1,0678;1,0913;1,0433;-1,24%
01.09.1999;1,0684;1,0566;1,0732;1,0285;1,14%
01.08.1999;1,0564;1,0682;1,0829;1,0393;-1,34%
01.07.1999;1,0707;1,0362;1,0747;1,0107;3,38%
01.06.1999;1,0357;1,0431;1,0563;1,0259;-0,63%
01.05.1999;1,0423;1,0589;1,0844;1,0393;-1,39%
01.04.1999;1,0570;1,0776;1,0888;1,0542;-1,86%
01.03.1999;1,0770;1,0987;1,1072;1,0683;-2,31%
01.02.1999;1,1025;1,1389;1,1397;1,0923;-3,00%
01.01.1999;1,1366;1,1742;1,1909;1,1338;-3,05%
01.12.1998;1,1723;1,1597;1,1955;1,1574;1,05%
01.11.1998;1,1601;1,1906;1,1942;1,1459;-2,41%
01.10.1998;1,1887;1,1782;1,2293;1,1770;0,78%
01.09.1998;1,1795;1,1227;1,1831;1,1193;4,36%
01.08.1998;1,1302;1,1100;1,1302;1,0877;1,87%
01.07.1998;1,1095;1,0955;1,1170;1,0790;1,31%
01.06.1998;1,0952;1,1050;1,1181;1,0866;-0,70%
01.05.1998;1,1029;1,1028;1,1211;1,0992;0,08%
01.04.1998;1,1020;1,0762;1,1093;1,0700;2,34%
01.03.1998;1,0768;1,0917;1,0983;1,0717;-1,07%
01.02.1998;1,0884;1,0770;1,1050;1,0733;0,87%
01.01.1998;1,0790;1,0980;1,1206;1,0715;-1,83%
01.12.1997;1,0991;1,1228;1,1237;1,0980;-2,13%
01.11.1997;1,1230;1,1405;1,1635;1,1165;-1,75%
01.10.1997;1,1430;1,1117;1,1515;1,1005;2,77%
01.09.1997;1,1122;1,0850;1,1208;1,0673;2,24%
01.08.1997;1,0878;1,0709;1,1000;1,0419;1,35%
01.07.1997;1,0733;1,1260;1,1295;1,0665;-4,74%
01.06.1997;1,1267;1,1340;1,1435;1,1195;-1,25%
01.05.1997;1,1410;1,1279;1,1668;1,1240;1,38%
01.04.1997;1,1255;1,1625;1,1685;1,1228;-3,48%
01.03.1997;1,1661;1,1455;1,1682;1,1293;1,68%
01.02.1997;1,1468;1,1773;1,1811;1,1389;-2,78%
01.01.1997;1,1796;1,2527;1,2559;1,1703;-5,92%
01.12.1996;1,2538;1,2548;1,2594;1,2305;-0,02%
01.11.1996;1,2540;1,2642;1,2862;1,2531;-0,81%
01.10.1996;1,2642;1,2512;1,2731;1,2413;1,10%
01.09.1996;1,2504;1,2723;1,2752;1,2475;-1,78%
01.08.1996;1,2730;1,2772;1,2799;1,2580;-0,29%
01.07.1996;1,2767;1,2436;1,2837;1,2384;2,69%
01.06.1996;1,2432;1,2391;1,2503;1,2295;0,32%
01.05.1996;1,2392;1,2263;1,2405;1,2190;1,00%
01.04.1996;1,2269;1,2545;1,2613;1,2240;-2,29%
01.03.1996;1,2557;1,2552;1,2628;1,2458;0,05%
01.02.1996;1,2551;1,2340;1,2732;1,2305;1,71%
01.01.1996;1,2340;1,2769;1,2971;1,2243;-3,42%
01.12.1995;1,2777;1,2763;1,2879;1,2602;0,17%
01.11.1995;1,2755;1,3046;1,3090;1,2720;-1,98%
01.10.1995;1,3013;1,2974;1,3216;1,2808;0,32%
01.09.1995;1,2971;1,2780;1,3101;1,2506;1,77%
01.08.1995;1,2746;1,3405;1,3525;1,2575;-4,92%
01.07.1995;1,3405;1,3321;1,3500;1,3127;0,63%
01.06.1995;1,3321;1,3072;1,3360;1,2911;2,08%
01.05.1995;1,3050;1,3208;1,3445;1,2655;-1,52%
01.04.1995;1,3251;1,3275;1,3530;1,3008;-0,51%
01.03.1995;1,3319;1,2716;1,3356;1,2690;4,77%
01.02.1995;1,2713;1,2395;1,2790;1,2280;2,57%
01.01.1995;1,2394;1,2269;1,2569;1,2159;1,02%
01.12.1994;1,2269;1,2152;1,2282;1,2025;0,95%
01.11.1994;1,2154;1,2685;1,2763;1,2110;-4,14%
01.10.1994;1,2679;1,2324;1,2809;1,2260;2,88%
01.09.1994;1,2324;1,2074;1,2435;1,2069;2,11%
01.08.1994;1,2069;1,2065;1,2452;1,1980;-0,14%
01.07.1994;1,2086;1,2063;1,2573;1,1912;0,28%
01.06.1994;1,2052;1,1700;1,2185;1,1521;2,94%
01.05.1994;1,1708;1,1668;1,1798;1,1469;0,25%
01.04.1994;1,1679;1,1510;1,1742;1,1237;1,41%
01.03.1994;1,1517;1,1330;1,1595;1,1225;1,63%
01.02.1994;1,1332;1,1212;1,1363;1,1010;1,09%
01.01.1994;1,1210;1,1130;1,1270;1,1047;0,72%
01.12.1993;1,1130;1,1197;1,1428;1,1130;-0,67%
01.11.1993;1,1205;1,1326;1,1393;1,1182;-1,10%
01.10.1993;1,1330;1,1615;1,1886;1,1302;-2,48%
01.09.1993;1,1618;1,1381;1,1995;1,1360;2,09%
01.08.1993;1,1380;1,0945;1,1443;1,0817;4,07%
01.07.1993;1,0935;1,1481;1,1640;1,0870;-4,67%
01.06.1993;1,1471;1,2278;1,2311;1,1416;-6,29%
01.05.1993;1,2241;1,2304;1,2477;1,1934;-0,72%
01.04.1993;1,2330;1,2040;1,2485;1,1988;2,15%
01.03.1993;1,2070;1,1716;1,2070;1,1608;2,46%
01.02.1993;1,1780;1,2110;1,2110;1,1690;-2,73%
01.01.1993;1,2110;1,2040;1,2500;1,1877;0,52%
